Timestamp	RMSE	R2	Runtime	Description
2026-04-28 14:47:59	27799.87472723838	-0.0201698044415759	0.0142109394073486	Linear Regression Baseline
2026-04-28 16:19:14	28083.881613011672	-0.0411206351318163	0.4053339958190918	Linear Regression Baseline
2026-04-28 16:31:20	27794.2423485682	-0.0197564644087873	0.0101470947265625	Baseline Ridge
2026-04-28 16:31:21	27798.15903252224	-0.0200438869006127	0.0319609642028808	Baseline Lasso
2026-04-28 16:31:23	31578.51801848984	-0.3163466620068338	0.0905320644378662	Baseline XGBoost
2026-04-28 16:31:25	28083.881613011672	-0.0411206351318163	0.3140342235565185	Baseline RandomForest
2026-04-28 16:31:26	27736.39016673691	-0.0155157487884143	0.1877670288085937	Baseline GradientBoosting
2026-04-30 18:06:21	29542.268454762485	-0.1520583281206744	0.0086421966552734	Phase 2: Ridge with Car_Age and Log-Target
2026-04-30 18:06:24	29329.27404743671	-0.135505949866584	0.0075788497924804	Phase 2: Lasso with Car_Age and Log-Target
2026-04-30 18:06:25	32785.04081662	-0.4188557498742584	0.0848419666290283	Phase 2: XGBoost with Car_Age and Log-Target
2026-04-30 18:06:27	30450.85968416849	-0.224012641736226	0.2989318370819092	Phase 2: RandomForest with Car_Age and Log-Target
2026-04-30 18:06:29	29664.69795386815	-0.1616268679607948	0.1497750282287597	Phase 2: GradientBoosting with Car_Age and Log-Target
2026-04-30 18:07:48	27788.755026196675	-0.0193538500818837	0.01167893409729	Phase 3: Ridge with Car_Age only
2026-04-30 18:07:50	27792.89633182351	-0.0196576974754711	0.0336980819702148	Phase 3: Lasso with Car_Age only
2026-04-30 18:07:52	31168.90056782941	-0.2824184400038207	0.1211609840393066	Phase 3: XGBoost with Car_Age only
2026-04-30 18:07:55	28413.000639380392	-0.0656657042211656	0.3372931480407715	Phase 3: RandomForest with Car_Age only
2026-04-30 18:07:59	28024.78190503853	-0.0367433781290875	0.2775397300720215	Phase 3: GradientBoosting with Car_Age only
2026-05-06 12:53:54	27555.58273715008	-0.0023190548112439	0.0081639289855957	EXP-01: Target Encoding (Ridge)
2026-05-06 12:54:20	27439.66854582789	0.0060958379855549	0.0123319625854492	EXP-02: Ordinal Condition (Ridge)
2026-05-06 12:54:47	27446.010526388265	0.0056363536233524	0.0319180488586425	EXP-03: Miles_Per_Year Interaction (Ridge)
2026-05-06 12:55:07	27458.919106405316	0.0047007829548706	0.0189161300659179	EXP-04: Robust Scaling (Ridge)
2026-05-06 12:57:13	27555.626219825837	-0.0023222181302178	0.0228681564331054	EXP-05: Huber Regression (Huber)
2026-05-07 18:06:48	27474.065270398496	0.0036024787767378053	0.012271881103515625	Verification Run: Auto-logging test
